Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Jan,27-Jan,5 PM,32.8,63.9,2.4
Jan,27-Jan,6 PM,32.0,69.0,3.7
Jan,27-Jan,7 PM,33.3,64.1,3.6
Jan,27-Jan,8 PM,34.0,61.9,3.3
Jan,27-Jan,9 PM,34.0,62.0,3.1
Jan,27-Jan,10 PM,34.0,61.9,3.2
Jan,27-Jan,11 PM,33.9,62.2,3.0
Jan,28-Jan,12 AM,33.9,62.3,3.6
Jan,28-Jan,1 AM,33.8,62.3,3.3
Jan,28-Jan,2 AM,33.7,62.2,3.3
Jan,28-Jan,3 AM,33.6,62.0,3.4
Jan,28-Jan,4 AM,33.5,61.8,3.4
Jan,28-Jan,5 AM,33.4,61.6,3.5
Jan,28-Jan,6 AM,33.3,61.6,3.4
Jan,28-Jan,7 AM,33.3,61.8,3.5
Jan,28-Jan,8 AM,33.5,62.4,3.0
Jan,28-Jan,9 AM,33.8,63.1,2.9
Jan,28-Jan,10 AM,34.1,62.7,3.5
Jan,28-Jan,11 AM,34.4,61.9,3.5
Jan,28-Jan,12 PM,34.7,61.1,3.3
Jan,28-Jan,1 PM,34.9,60.2,2.9
Jan,28-Jan,2 PM,35.1,59.5,3.5
Jan,28-Jan,3 PM,35.2,59.0,3.3
Jan,28-Jan,4 PM,35.1,58.2,3.0
Jan,28-Jan,5 PM,35.1,58.1,3.3
Jan,28-Jan,6 PM,34.9,59.0,3.5
Jan,28-Jan,7 PM,34.8,60.2,3.8
Jan,28-Jan,8 PM,34.7,60.5,3.3
Jan,28-Jan,9 PM,34.6,61.0,3.4
Jan,28-Jan,10 PM,34.5,61.4,3.3
Jan,28-Jan,11 PM,34.4,61.7,3.4
Jan,29-Jan,12 AM,34.3,61.9,3.3
Jan,29-Jan,1 AM,34.2,62.0,2.7
Jan,29-Jan,2 AM,34.1,62.3,3.0
Jan,29-Jan,3 AM,34.1,62.4,3.8
Jan,29-Jan,4 AM,34.0,62.6,3.3
Jan,29-Jan,5 AM,33.9,62.7,3.1
