Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Jan,1-Jan,12 AM,30.66,56.76,0.18
Jan,1-Jan,1 AM,29.92,58.23,0.20
Jan,1-Jan,2 AM,29.05,60.00,1.05
Jan,1-Jan,3 AM,29.28,59.28,0.08
Jan,1-Jan,4 AM,27.99,63.01,0.00
Jan,1-Jan,5 AM,26.88,67.16,0.03
Jan,1-Jan,6 AM,26.27,68.95,0.01
Jan,1-Jan,7 AM,27.71,66.69,0.13
Jan,1-Jan,8 AM,31.51,58.34,0.17
Jan,1-Jan,9 AM,35.14,51.96,0.15
Jan,1-Jan,10 AM,35.67,50.56,0.36
Jan,1-Jan,11 AM,39.04,45.64,0.02
Jan,1-Jan,12 PM,39.41,44.09,0.54
Jan,1-Jan,1 PM,36.55,47.69,2.22
Jan,1-Jan,2 PM,37.11,46.77,1.98
Jan,1-Jan,3 PM,37.38,46.99,1.64
Jan,1-Jan,4 PM,34.88,51.14,2.68
Jan,1-Jan,5 PM,34.28,51.67,1.72
Jan,1-Jan,6 PM,33.94,52.15,0.33
Jan,1-Jan,7 PM,32.58,55.27,0.20
Jan,1-Jan,8 PM,31.61,57.68,0.24
Jan,1-Jan,9 PM,30.91,58.44,0.83
Jan,1-Jan,10 PM,30.81,57.75,0.84
Jan,1-Jan,11 PM,31.66,55.64,0.12
Jan,2-Jan,12 AM,31.83,55.52,0.62
Jan,2-Jan,1 AM,30.71,58.74,0.02
Jan,2-Jan,2 AM,29.23,62.81,0.06
Jan,2-Jan,3 AM,27.91,66.51,0.03
Jan,2-Jan,4 AM,27.75,66.42,0.00
Jan,2-Jan,5 AM,27.08,68.26,0.00
Jan,2-Jan,6 AM,26.74,69.82,0.07
Jan,2-Jan,7 AM,28.68,66.28,0.00
Jan,2-Jan,8 AM,33.36,57.23,0.00
Jan,2-Jan,9 AM,35.93,50.93,0.11
Jan,2-Jan,10 AM,36.98,48.49,0.13
Jan,2-Jan,11 AM,38.96,45.24,0.05
Jan,2-Jan,12 PM,37.45,47.44,0.50
Jan,2-Jan,1 PM,38.04,46.92,0.24
Jan,2-Jan,2 PM,38.11,47.14,0.38
Jan,2-Jan,3 PM,38.69,45.86,0.09
Jan,2-Jan,4 PM,39.29,45.66,0.14
Jan,2-Jan,5 PM,36.14,49.37,0.07
Jan,2-Jan,6 PM,33.84,53.50,0.00
Jan,2-Jan,7 PM,32.58,56.60,0.00
Jan,2-Jan,8 PM,31.91,58.00,0.00
Jan,2-Jan,9 PM,30.98,60.65,0.00
Jan,2-Jan,10 PM,30.54,61.28,0.00
Jan,2-Jan,11 PM,30.24,61.97,0.00
Jan,3-Jan,12 AM,30.11,61.78,0.01
Jan,3-Jan,1 AM,29.75,62.70,0.06
Jan,3-Jan,2 AM,28.79,65.69,0.02
Jan,3-Jan,3 AM,28.48,66.34,0.00
Jan,3-Jan,4 AM,27.59,68.64,0.00
Jan,3-Jan,5 AM,27.90,67.18,0.02
Jan,3-Jan,6 AM,27.26,69.48,0.06
Jan,3-Jan,7 AM,29.21,65.67,0.00
Jan,3-Jan,8 AM,32.52,58.72,0.01
Jan,3-Jan,9 AM,33.38,56.84,0.01
Jan,3-Jan,10 AM,36.12,53.21,0.01
Jan,3-Jan,11 AM,38.50,47.01,0.21
Jan,3-Jan,12 PM,37.32,47.25,1.09
Jan,3-Jan,1 PM,38.35,45.49,0.98
Jan,3-Jan,2 PM,40.57,42.69,0.46
Jan,3-Jan,3 PM,39.80,44.18,0.31
Jan,3-Jan,4 PM,38.88,46.02,0.43
Jan,3-Jan,5 PM,36.31,50.12,0.65
Jan,3-Jan,6 PM,34.91,51.14,0.62
Jan,3-Jan,7 PM,33.63,52.85,0.50
Jan,3-Jan,8 PM,33.09,53.92,0.11
Jan,3-Jan,9 PM,32.44,56.60,0.06
Jan,3-Jan,10 PM,32.12,57.61,0.00
Jan,3-Jan,11 PM,31.27,59.88,0.00
Jan,4-Jan,12 AM,30.99,60.49,0.01
Jan,4-Jan,1 AM,30.52,61.78,0.00
Jan,4-Jan,2 AM,30.21,62.27,0.00
Jan,4-Jan,3 AM,30.02,62.85,0.06
Jan,4-Jan,4 AM,29.84,63.70,0.02
Jan,4-Jan,5 AM,29.34,65.73,0.01
Jan,4-Jan,6 AM,29.01,67.29,0.01
Jan,4-Jan,7 AM,29.31,68.06,0.00
Jan,4-Jan,8 AM,31.29,65.18,0.01
Jan,4-Jan,9 AM,34.27,57.48,0.11
Jan,4-Jan,10 AM,36.15,54.42,0.04
Jan,4-Jan,11 AM,38.59,50.28,0.00
Jan,4-Jan,12 PM,40.56,47.43,0.01
Jan,4-Jan,1 PM,42.01,43.81,0.01
Jan,4-Jan,2 PM,43.34,40.86,0.01
Jan,4-Jan,3 PM,43.81,40.15,0.02
Jan,4-Jan,4 PM,43.96,39.48,0.04
Jan,4-Jan,5 PM,38.37,44.89,0.28
Jan,4-Jan,6 PM,35.61,48.86,0.00
Jan,4-Jan,7 PM,33.86,54.32,0.00
Jan,4-Jan,8 PM,32.33,60.30,0.00
Jan,4-Jan,9 PM,32.01,60.33,0.00
Jan,4-Jan,10 PM,31.72,60.08,0.00
Jan,4-Jan,11 PM,31.61,58.84,0.06
Jan,5-Jan,12 AM,31.49,58.38,0.01
Jan,5-Jan,1 AM,30.81,59.21,0.00
Jan,5-Jan,2 AM,30.42,60.31,0.00
Jan,5-Jan,3 AM,29.86,62.10,0.00
Jan,5-Jan,4 AM,29.13,64.41,0.03
Jan,5-Jan,5 AM,28.51,65.35,0.00
Jan,5-Jan,6 AM,28.48,65.11,0.00
Jan,5-Jan,7 AM,29.05,65.34,0.00
Jan,5-Jan,8 AM,33.58,58.23,0.00
Jan,5-Jan,9 AM,37.51,50.20,0.00
Jan,5-Jan,10 AM,39.53,46.00,0.00
Jan,5-Jan,11 AM,41.74,42.31,0.00
Jan,5-Jan,12 PM,42.89,39.30,0.05
Jan,5-Jan,1 PM,43.87,34.33,0.09
Jan,5-Jan,2 PM,43.53,34.38,0.13
Jan,5-Jan,3 PM,44.46,33.25,0.03
Jan,5-Jan,4 PM,43.70,35.62,0.00
Jan,5-Jan,5 PM,40.86,42.75,0.00
Jan,5-Jan,6 PM,36.92,49.15,0.00
Jan,5-Jan,7 PM,34.39,55.40,0.00
Jan,5-Jan,8 PM,32.20,61.07,0.05
Jan,5-Jan,9 PM,32.20,60.19,0.00
Jan,5-Jan,10 PM,30.91,62.81,0.08
Jan,5-Jan,11 PM,30.76,61.53,0.00
Jan,6-Jan,12 AM,30.37,62.87,0.00
Jan,6-Jan,1 AM,29.73,61.30,0.00
Jan,6-Jan,2 AM,28.65,63.16,0.00
Jan,6-Jan,3 AM,27.09,67.24,0.00
Jan,6-Jan,4 AM,26.73,67.49,0.00
Jan,6-Jan,5 AM,26.66,67.02,0.00
Jan,6-Jan,6 AM,26.77,65.71,0.00
Jan,6-Jan,7 AM,29.53,60.39,0.00
Jan,6-Jan,8 AM,34.52,53.23,0.00
Jan,6-Jan,9 AM,38.49,46.77,0.00
Jan,6-Jan,10 AM,41.48,41.53,0.03
Jan,6-Jan,11 AM,41.50,38.35,0.30
Jan,6-Jan,12 PM,42.46,36.36,0.16
Jan,6-Jan,1 PM,43.07,35.50,0.26
Jan,6-Jan,2 PM,44.59,32.61,0.23
Jan,6-Jan,3 PM,43.45,30.69,0.44
Jan,6-Jan,4 PM,42.31,31.75,0.42
Jan,6-Jan,5 PM,39.82,35.77,0.23
Jan,6-Jan,6 PM,37.22,40.33,0.00
Jan,6-Jan,7 PM,35.15,47.78,0.00
Jan,6-Jan,8 PM,33.80,50.99,0.00
Jan,6-Jan,9 PM,32.66,53.58,0.00
Jan,6-Jan,10 PM,31.10,56.26,0.13
Jan,6-Jan,11 PM,31.41,52.41,0.36
Jan,7-Jan,12 AM,29.88,57.39,0.10
Jan,7-Jan,1 AM,28.94,59.41,0.11
Jan,7-Jan,2 AM,28.26,60.45,0.03
Jan,7-Jan,3 AM,28.34,60.50,0.03
Jan,7-Jan,4 AM,28.48,60.06,0.00
Jan,7-Jan,5 AM,27.99,61.95,0.00
Jan,7-Jan,6 AM,27.72,62.14,0.00
Jan,7-Jan,7 AM,30.05,59.03,0.00
Jan,7-Jan,8 AM,34.99,53.88,0.00
Jan,7-Jan,9 AM,39.07,49.40,0.00
Jan,7-Jan,10 AM,39.25,44.35,0.71
Jan,7-Jan,11 AM,39.07,44.67,0.81
Jan,7-Jan,12 PM,40.31,42.41,0.60
Jan,7-Jan,1 PM,40.89,41.71,0.65
Jan,7-Jan,2 PM,43.60,38.72,0.14
Jan,7-Jan,3 PM,44.14,38.17,0.14
Jan,7-Jan,4 PM,44.35,37.89,0.08
Jan,7-Jan,5 PM,42.03,41.01,0.00
Jan,7-Jan,6 PM,38.44,47.27,0.00
Jan,7-Jan,7 PM,36.37,51.13,0.01
Jan,7-Jan,8 PM,34.22,57.93,0.03
Jan,7-Jan,9 PM,34.05,56.66,0.00
Jan,7-Jan,10 PM,33.13,57.79,0.00
Jan,7-Jan,11 PM,32.56,58.39,0.00
Jan,8-Jan,12 AM,31.90,59.84,0.01
Jan,8-Jan,1 AM,31.15,60.59,0.00
Jan,8-Jan,2 AM,29.92,64.66,0.00
Jan,8-Jan,3 AM,29.03,67.26,0.00
Jan,8-Jan,4 AM,28.52,68.42,0.00
Jan,8-Jan,5 AM,28.47,66.96,0.00
Jan,8-Jan,6 AM,28.44,65.37,0.02
Jan,8-Jan,7 AM,30.56,60.54,0.01
Jan,8-Jan,8 AM,33.73,57.72,0.00
Jan,8-Jan,9 AM,38.71,48.43,0.00
Jan,8-Jan,10 AM,40.56,41.31,0.07
Jan,8-Jan,11 AM,41.26,38.49,0.17
Jan,8-Jan,12 PM,42.05,36.92,0.20
Jan,8-Jan,1 PM,43.85,34.69,0.09
Jan,8-Jan,2 PM,44.37,33.84,0.19
Jan,8-Jan,3 PM,45.79,32.38,0.07
Jan,8-Jan,4 PM,43.19,34.50,0.33
Jan,8-Jan,5 PM,41.36,38.98,0.07
Jan,8-Jan,6 PM,37.49,45.16,0.04
Jan,8-Jan,7 PM,34.96,51.48,0.10
Jan,8-Jan,8 PM,33.96,54.39,0.01
Jan,8-Jan,9 PM,32.84,57.86,0.00
Jan,8-Jan,10 PM,31.74,59.89,0.00
Jan,8-Jan,11 PM,31.43,58.89,0.00
