Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Apr,9-Apr,2 PM,27.8,51.2,4.2
Apr,9-Apr,5 PM,28.8,49.5,3.1
Apr,9-Apr,6 PM,30.5,47.1,3.1
Apr,9-Apr,7 PM,33.3,43.3,2.9
Apr,9-Apr,8 PM,34.2,42.8,2.8
Apr,9-Apr,9 PM,34.7,42.8,2.8
Apr,9-Apr,10 PM,35.0,43.1,2.9
Apr,9-Apr,11 PM,35.2,43.4,2.8
Apr,10-Apr,12 AM,35.2,43.8,2.8
Apr,10-Apr,1 AM,35.3,44.1,2.7
Apr,10-Apr,2 AM,35.4,44.0,2.9
Apr,10-Apr,3 AM,35.5,44.0,2.8
Apr,10-Apr,4 AM,35.4,44.3,2.8
Apr,10-Apr,5 AM,35.2,44.7,2.8
Apr,10-Apr,6 AM,35.1,44.9,2.7
Apr,10-Apr,7 AM,35.2,44.9,2.8
Apr,10-Apr,8 AM,35.4,44.6,2.7
Apr,10-Apr,9 AM,35.6,44.4,2.9
Apr,10-Apr,10 AM,35.6,44.4,2.8
Apr,10-Apr,11 AM,28.7,48.0,2.8
Apr,10-Apr,12 PM,30.9,45.2,2.8
Apr,10-Apr,1 PM,34.3,41.9,2.7
Apr,10-Apr,2 PM,35.4,41.9,2.7
Apr,10-Apr,3 PM,35.9,42.2,2.7
Apr,10-Apr,4 PM,36.3,42.5,2.6
Apr,10-Apr,5 PM,36.5,43.0,2.6
Apr,10-Apr,6 PM,36.6,43.5,2.6
Apr,10-Apr,7 PM,36.6,44.1,2.6
Apr,10-Apr,8 PM,36.7,44.6,2.6
Apr,10-Apr,9 PM,35.4,46.1,2.7
Apr,10-Apr,10 PM,28.3,51.8,2.9
Apr,10-Apr,11 PM,27.8,53.8,2.9
Apr,11-Apr,12 AM,27.5,55.0,2.9
Apr,11-Apr,1 AM,27.5,55.6,3.0
Apr,11-Apr,2 AM,27.7,56.3,2.9
Apr,11-Apr,3 AM,28.7,53.6,2.9
Apr,11-Apr,6 AM,31.0,48.8,3.0
Apr,11-Apr,7 AM,32.9,46.1,2.8
Apr,11-Apr,8 AM,33.4,45.9,2.9
Apr,11-Apr,9 AM,29.0,47.7,2.9
Apr,11-Apr,10 AM,28.5,51.7,2.9
Apr,11-Apr,11 AM,28.4,52.3,3.0
Apr,11-Apr,12 PM,28.4,52.6,3.0
Apr,11-Apr,1 PM,28.5,52.4,2.9
Apr,11-Apr,2 PM,27.9,55.1,2.9
Apr,11-Apr,3 PM,28.2,54.5,2.9
Apr,11-Apr,4 PM,31.3,48.8,2.9
Apr,11-Apr,5 PM,30.8,57.8,3.6
Apr,11-Apr,6 PM,33.5,58.7,3.4
Apr,11-Apr,7 PM,35.4,57.0,3.5
Apr,11-Apr,8 PM,35.3,57.3,3.0
Apr,11-Apr,9 PM,35.2,57.5,3.4
Apr,11-Apr,10 PM,35.3,57.6,3.2
Apr,11-Apr,11 PM,35.2,58.0,3.4
Apr,12-Apr,12 AM,35.4,57.6,3.2
Apr,12-Apr,1 AM,35.5,57.4,3.4
Apr,12-Apr,2 AM,35.2,57.9,3.4
Apr,12-Apr,3 AM,34.9,58.5,3.1
Apr,12-Apr,4 AM,34.8,58.5,3.4
Apr,12-Apr,5 AM,34.7,58.4,3.4
Apr,12-Apr,6 AM,34.6,58.6,3.3
Apr,12-Apr,7 AM,34.8,58.1,3.3
Apr,12-Apr,8 AM,35.0,58.2,3.3
Apr,12-Apr,9 AM,35.1,58.6,3.2
Apr,12-Apr,10 AM,35.2,58.4,3.3
Apr,12-Apr,11 AM,35.3,58.1,3.3
Apr,12-Apr,12 PM,35.5,57.5,3.3
Apr,12-Apr,1 PM,35.5,57.3,3.5
Apr,12-Apr,2 PM,35.6,56.8,3.0
Apr,12-Apr,3 PM,35.7,56.2,3.3
Apr,12-Apr,4 PM,35.7,55.8,3.2
Apr,12-Apr,5 PM,35.8,55.8,3.4
Apr,12-Apr,6 PM,35.8,55.8,3.6
Apr,12-Apr,7 PM,35.8,56.0,3.2
Apr,12-Apr,8 PM,35.7,56.4,3.4
Apr,12-Apr,9 PM,35.6,57.0,3.1
Apr,12-Apr,10 PM,35.6,56.9,3.2
Apr,12-Apr,11 PM,35.5,56.9,3.3
Apr,13-Apr,12 AM,35.5,56.8,3.4
Apr,13-Apr,1 AM,35.4,56.8,3.0
Apr,13-Apr,2 AM,35.4,56.8,3.5
Apr,13-Apr,3 AM,35.9,55.8,3.5
Apr,13-Apr,4 AM,35.1,58.2,3.6
Apr,13-Apr,5 AM,35.9,56.3,3.4
Apr,13-Apr,6 AM,35.0,58.3,3.3
Apr,13-Apr,7 AM,35.3,57.7,3.1
