Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Jan,1-Jan,12 AM,32.8,47.8,0.0
Jan,1-Jan,1 AM,32.3,48.6,0.0
Jan,1-Jan,2 AM,30.2,52.5,0.4
Jan,1-Jan,3 AM,31.1,50.4,0.1
Jan,1-Jan,4 AM,32.1,48.7,0.0
Jan,1-Jan,5 AM,31.5,50.0,0.0
Jan,1-Jan,6 AM,30.2,53.4,0.0
Jan,1-Jan,7 AM,32.8,49.8,0.1
Jan,1-Jan,8 AM,37.2,42.8,0.0
Jan,1-Jan,9 AM,41.1,37.1,0.0
Jan,1-Jan,10 AM,41.6,35.8,0.1
Jan,1-Jan,11 AM,42.3,35.1,0.0
Jan,1-Jan,12 PM,40.8,36.5,0.5
Jan,1-Jan,1 PM,39.3,38.3,1.2
Jan,1-Jan,2 PM,38.7,39.1,1.6
Jan,1-Jan,3 PM,37.6,41.1,1.9
Jan,1-Jan,4 PM,36.5,43.3,1.7
Jan,1-Jan,5 PM,34.8,45.7,1.3
Jan,1-Jan,6 PM,36.3,43.0,0.3
Jan,1-Jan,7 PM,36.8,42.0,0.0
Jan,1-Jan,8 PM,35.8,44.3,0.0
Jan,1-Jan,9 PM,34.8,45.6,0.4
Jan,1-Jan,10 PM,35.1,44.0,0.3
Jan,1-Jan,11 PM,34.8,44.9,0.0
Jan,2-Jan,12 AM,33.5,47.3,0.3
Jan,2-Jan,1 AM,34.3,46.6,0.0
Jan,2-Jan,2 AM,33.2,48.7,0.0
Jan,2-Jan,3 AM,32.4,50.1,0.0
Jan,2-Jan,4 AM,31.2,52.9,0.0
Jan,2-Jan,5 AM,30.9,53.9,0.0
Jan,2-Jan,6 AM,31.3,52.8,0.0
Jan,2-Jan,7 AM,33.3,50.4,0.0
Jan,2-Jan,8 AM,38.4,42.7,0.0
Jan,2-Jan,9 AM,41.8,36.8,0.0
Jan,2-Jan,10 AM,42.3,35.1,0.0
Jan,2-Jan,11 AM,43.1,34.1,0.0
Jan,2-Jan,12 PM,40.5,37.3,0.3
Jan,2-Jan,1 PM,42.7,34.8,0.1
Jan,2-Jan,2 PM,42.0,36.0,0.1
Jan,2-Jan,3 PM,41.3,36.5,0.0
Jan,2-Jan,4 PM,42.8,35.2,0.1
Jan,2-Jan,5 PM,40.2,37.4,0.0
Jan,2-Jan,6 PM,37.4,41.8,0.0
Jan,2-Jan,7 PM,36.1,44.2,0.0
Jan,2-Jan,8 PM,35.4,45.8,0.0
Jan,2-Jan,9 PM,35.4,46.0,0.0
Jan,2-Jan,10 PM,34.9,46.8,0.0
Jan,2-Jan,11 PM,34.0,48.5,0.0
Jan,3-Jan,12 AM,33.6,49.3,0.0
Jan,3-Jan,1 AM,33.4,49.6,0.0
Jan,3-Jan,2 AM,32.3,52.2,0.0
Jan,3-Jan,3 AM,32.1,52.5,0.0
Jan,3-Jan,4 AM,31.7,53.1,0.0
Jan,3-Jan,5 AM,31.8,52.8,0.0
Jan,3-Jan,6 AM,31.7,53.2,0.0
Jan,3-Jan,7 AM,34.3,49.2,0.0
Jan,3-Jan,8 AM,36.3,45.5,0.0
Jan,3-Jan,9 AM,36.6,45.0,0.0
Jan,3-Jan,10 AM,40.5,39.6,0.0
Jan,3-Jan,11 AM,41.9,36.5,0.2
Jan,3-Jan,12 PM,41.2,36.5,0.3
Jan,3-Jan,1 PM,41.6,35.6,0.6
Jan,3-Jan,2 PM,44.5,32.5,0.1
Jan,3-Jan,3 PM,43.4,34.1,0.2
Jan,3-Jan,4 PM,42.6,35.4,0.1
Jan,3-Jan,5 PM,37.8,42.2,0.3
Jan,3-Jan,6 PM,36.6,43.4,0.2
Jan,3-Jan,7 PM,38.0,40.5,0.1
Jan,3-Jan,8 PM,37.1,41.5,0.0
Jan,3-Jan,9 PM,36.4,43.8,0.0
Jan,3-Jan,10 PM,35.9,45.3,0.0
Jan,3-Jan,11 PM,35.1,46.7,0.0
Jan,4-Jan,12 AM,34.6,47.8,0.0
Jan,4-Jan,1 AM,34.7,47.6,0.0
Jan,4-Jan,2 AM,34.1,48.8,0.0
Jan,4-Jan,3 AM,33.4,50.7,0.0
Jan,4-Jan,4 AM,33.7,49.9,0.0
Jan,4-Jan,5 AM,33.9,49.8,0.0
Jan,4-Jan,6 AM,33.4,51.7,0.0
Jan,4-Jan,7 AM,33.7,51.7,0.0
Jan,4-Jan,8 AM,36.0,48.9,0.0
Jan,4-Jan,9 AM,39.0,43.4,0.0
Jan,4-Jan,10 AM,40.4,41.2,0.0
Jan,4-Jan,11 AM,42.4,38.7,0.0
Jan,4-Jan,12 PM,44.4,36.3,0.0
Jan,4-Jan,1 PM,46.6,32.9,0.0
Jan,4-Jan,2 PM,45.7,32.9,0.0
