Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Apr,5-Apr,6 PM,35.5,41.8,2.7
Apr,5-Apr,7 PM,35.7,41.9,2.8
Apr,5-Apr,8 PM,35.9,41.9,2.7
Apr,5-Apr,9 PM,36.1,42.0,2.8
Apr,5-Apr,10 PM,36.2,42.3,2.6
Apr,5-Apr,11 PM,36.3,42.6,2.8
Apr,6-Apr,12 AM,36.4,43.0,2.8
Apr,6-Apr,1 AM,36.4,43.4,2.8
Apr,6-Apr,2 AM,36.4,43.8,2.8
Apr,6-Apr,3 AM,36.4,44.1,2.8
Apr,6-Apr,4 AM,36.4,44.4,2.8
Apr,6-Apr,5 AM,36.4,44.6,2.8
Apr,6-Apr,6 AM,36.3,44.7,2.9
Apr,6-Apr,7 AM,36.3,44.9,2.7
Apr,6-Apr,8 AM,36.4,45.0,2.9
Apr,6-Apr,9 AM,36.5,45.0,2.9
Apr,6-Apr,10 AM,36.6,44.8,2.9
Apr,6-Apr,11 AM,36.8,44.6,2.9
Apr,6-Apr,12 PM,36.9,44.4,2.8
Apr,6-Apr,1 PM,37.0,44.2,2.7
Apr,6-Apr,2 PM,37.2,43.8,2.8
Apr,6-Apr,3 PM,37.4,43.4,2.9
Apr,6-Apr,4 PM,37.7,43.2,2.7
Apr,6-Apr,5 PM,37.9,43.1,2.8
Apr,6-Apr,6 PM,38.0,43.1,2.7
Apr,6-Apr,7 PM,37.9,43.3,2.9
Apr,6-Apr,8 PM,37.9,43.3,2.8
Apr,6-Apr,9 PM,38.0,43.4,2.8
Apr,6-Apr,10 PM,38.0,43.6,2.8
Apr,6-Apr,11 PM,38.0,43.8,2.8
Apr,7-Apr,12 AM,38.0,43.8,3.0
Apr,7-Apr,1 AM,38.0,43.8,2.7
Apr,7-Apr,2 AM,38.0,43.7,2.8
Apr,7-Apr,3 AM,38.0,43.7,2.9
Apr,7-Apr,4 AM,37.9,43.8,2.7
Apr,7-Apr,5 AM,37.9,44.0,2.8
Apr,7-Apr,6 AM,37.8,44.1,2.9
Apr,7-Apr,7 AM,37.8,43.7,2.7
Apr,7-Apr,8 AM,36.5,43.0,2.5
Apr,7-Apr,9 AM,29.7,43.6,2.8
Apr,7-Apr,10 AM,29.1,47.3,2.7
Apr,7-Apr,11 AM,28.7,48.1,2.8
Apr,7-Apr,12 PM,28.7,47.9,2.9
Apr,7-Apr,1 PM,28.6,47.6,2.8
Apr,7-Apr,2 PM,28.7,47.9,2.7
Apr,7-Apr,3 PM,28.9,47.6,2.8
Apr,7-Apr,4 PM,33.8,41.0,2.9
Apr,7-Apr,5 PM,35.8,39.1,2.6
Apr,7-Apr,6 PM,36.4,38.9,2.5
Apr,7-Apr,7 PM,36.7,38.8,2.7
Apr,7-Apr,8 PM,36.9,38.7,2.8
Apr,7-Apr,9 PM,37.1,38.7,2.5
Apr,7-Apr,10 PM,37.2,38.8,2.8
