Days,date time,Average of temp,Average of humid,Average of wind speed
29-Jul,2 AM,33.2,68.7,0.0
29-Jul,3 AM,33.6,67.8,0.0
29-Jul,4 AM,33.6,68.1,0.0
29-Jul,5 AM,33.3,68.7,0.0
29-Jul,6 AM,33.6,68.7,0.0
29-Jul,7 AM,36.0,65.5,0.0
29-Jul,8 AM,39.0,57.6,0.0
29-Jul,9 AM,40.7,53.6,0.0
29-Jul,10 AM,42.0,49.1,0.0
29-Jul,11 AM,42.2,47.4,0.1
29-Jul,12 PM,42.8,45.6,0.2
29-Jul,1 PM,43.5,46.3,0.3
29-Jul,2 PM,44.2,44.6,0.3
29-Jul,3 PM,45.5,42.5,0.1
29-Jul,4 PM,44.8,44.0,0.1
29-Jul,5 PM,42.6,48.4,0.7
29-Jul,6 PM,40.0,54.0,0.2
29-Jul,7 PM,39.0,56.9,0.0
29-Jul,8 PM,38.2,59.0,0.0
29-Jul,9 PM,37.7,60.9,0.0
29-Jul,10 PM,37.2,62.8,0.0
29-Jul,11 PM,36.3,64.9,0.0
30-Jul,12 AM,35.6,66.1,0.0
30-Jul,1 AM,34.5,68.2,0.0
30-Jul,2 AM,34.8,66.9,0.0
30-Jul,3 AM,34.4,67.5,0.0
30-Jul,4 AM,34.0,68.1,0.0
30-Jul,5 AM,33.8,68.2,0.0
30-Jul,6 AM,34.3,67.6,0.0
30-Jul,7 AM,35.6,66.0,0.0
30-Jul,8 AM,38.3,60.2,0.0
30-Jul,9 AM,40.2,54.7,0.0
30-Jul,10 AM,41.4,52.3,0.0
30-Jul,11 AM,42.4,49.7,0.1
30-Jul,12 PM,42.9,47.5,0.1
30-Jul,1 PM,42.4,49.3,0.0
30-Jul,2 PM,42.1,49.4,0.4
30-Jul,3 PM,41.3,49.6,0.2
30-Jul,4 PM,41.7,48.7,0.0
30-Jul,5 PM,40.3,52.3,0.0
30-Jul,6 PM,39.0,54.1,0.0
30-Jul,7 PM,37.9,58.1,0.0
30-Jul,8 PM,36.7,62.7,0.0
30-Jul,9 PM,36.7,63.5,0.0
30-Jul,10 PM,36.2,64.9,0.0
30-Jul,11 PM,35.6,66.5,0.0
1-Aug,12 AM,30.5,72.1,0.0
1-Aug,1 AM,30.6,72.8,0.0
1-Aug,2 AM,30.9,71.9,0.0
1-Aug,3 AM,31.1,71.2,0.0
1-Aug,4 AM,31.3,70.9,0.0
1-Aug,5 AM,30.7,71.7,0.0
1-Aug,6 AM,31.2,71.2,0.0
1-Aug,7 AM,32.9,69.1,0.0
1-Aug,8 AM,34.4,66.5,0.0
1-Aug,9 AM,36.0,63.2,0.0
1-Aug,10 AM,38.5,57.4,0.1
1-Aug,11 AM,40.9,53.3,0.0
1-Aug,12 PM,41.4,50.6,0.1
1-Aug,1 PM,42.2,48.8,0.2
1-Aug,2 PM,37.8,56.8,1.8
1-Aug,3 PM,39.1,55.7,0.1
1-Aug,4 PM,39.3,54.5,0.0
1-Aug,5 PM,37.6,58.3,0.0
1-Aug,6 PM,35.8,63.0,0.0
1-Aug,7 PM,35.1,65.1,0.0
1-Aug,8 PM,34.8,66.3,0.0
1-Aug,9 PM,34.5,68.2,0.0
1-Aug,10 PM,33.7,70.2,0.0
1-Aug,11 PM,33.7,69.8,0.0
2-Aug,12 AM,33.5,69.3,0.0
2-Aug,1 AM,33.8,69.0,0.0
2-Aug,2 AM,33.7,69.2,0.0
2-Aug,3 AM,33.0,70.5,0.0
2-Aug,4 AM,32.5,71.5,0.0
2-Aug,5 AM,32.3,71.4,0.0
2-Aug,6 AM,32.9,69.9,0.0
2-Aug,7 AM,33.7,68.6,0.3
2-Aug,8 AM,34.2,67.6,0.8
2-Aug,9 AM,36.6,63.1,0.7
2-Aug,10 AM,38.3,59.4,0.6
2-Aug,11 AM,37.6,59.4,0.9
2-Aug,12 PM,34.0,69.3,0.5
2-Aug,1 PM,33.7,69.8,0.2
2-Aug,2 PM,35.0,67.0,0.0
2-Aug,3 PM,36.9,63.1,0.0
2-Aug,4 PM,37.3,61.5,0.0
2-Aug,5 PM,36.9,62.5,0.0
2-Aug,6 PM,35.6,65.6,0.0
2-Aug,7 PM,34.6,68.7,0.0
2-Aug,8 PM,34.2,69.5,0.0
2-Aug,9 PM,32.3,70.8,0.4
2-Aug,10 PM,31.8,72.0,0.0
2-Aug,11 PM,31.9,72.0,0.0
3-Aug,12 AM,31.9,71.9,0.0
3-Aug,1 AM,31.9,72.2,0.0
3-Aug,2 AM,32.1,71.8,0.0
3-Aug,3 AM,31.7,72.7,0.1
3-Aug,4 AM,31.6,72.6,0.1
3-Aug,5 AM,32.0,71.4,0.0
3-Aug,6 AM,32.4,70.7,0.0
3-Aug,7 AM,33.3,69.3,0.1
3-Aug,8 AM,36.8,62.7,0.2
3-Aug,9 AM,38.5,58.4,0.2
3-Aug,10 AM,39.8,55.0,0.3
3-Aug,11 AM,40.2,53.7,0.2
3-Aug,12 PM,41.3,51.6,0.2
3-Aug,1 PM,41.6,51.4,0.3
3-Aug,2 PM,42.5,49.3,0.3
3-Aug,3 PM,41.8,50.3,0.8
3-Aug,4 PM,35.2,63.9,0.7
3-Aug,5 PM,37.2,60.5,0.0
3-Aug,6 PM,37.3,59.3,0.0
3-Aug,7 PM,35.9,62.7,0.0
3-Aug,8 PM,34.8,66.3,0.0
3-Aug,9 PM,34.5,67.0,0.0
3-Aug,10 PM,33.3,69.2,0.0
3-Aug,11 PM,33.4,69.3,0.0
4-Aug,12 AM,33.2,70.1,0.0
4-Aug,1 AM,32.9,70.5,0.0
4-Aug,2 AM,32.7,70.2,0.0
4-Aug,3 AM,32.5,69.7,0.0
4-Aug,4 AM,32.6,69.4,0.0
4-Aug,5 AM,32.5,69.7,0.0
4-Aug,6 AM,32.3,69.7,0.0
4-Aug,7 AM,33.7,68.3,0.0
4-Aug,8 AM,37.2,61.9,0.0
4-Aug,9 AM,39.8,53.7,0.1
4-Aug,10 AM,39.3,52.7,0.6
4-Aug,11 AM,39.4,52.1,0.7
4-Aug,12 PM,40.3,50.8,0.3
4-Aug,1 PM,41.1,50.7,0.1
4-Aug,2 PM,41.9,49.2,0.4
4-Aug,3 PM,41.4,48.3,0.8
4-Aug,4 PM,41.6,47.6,0.5
4-Aug,5 PM,40.3,50.9,0.0
4-Aug,6 PM,38.8,53.5,0.2
4-Aug,7 PM,35.1,61.1,0.5
4-Aug,8 PM,33.4,65.2,0.1
4-Aug,9 PM,32.4,66.8,0.1
4-Aug,10 PM,32.2,67.2,0.0
4-Aug,11 PM,32.1,66.8,0.0
5-Aug,12 AM,32.2,66.5,0.0
5-Aug,1 AM,32.0,67.8,0.0
5-Aug,2 AM,31.7,68.2,0.0
5-Aug,3 AM,31.9,68.5,0.0
5-Aug,4 AM,32.1,68.6,0.0
5-Aug,5 AM,31.6,69.9,0.0
5-Aug,6 AM,32.0,69.3,0.0
5-Aug,7 AM,33.8,66.9,0.0
5-Aug,8 AM,35.9,61.7,0.0
5-Aug,9 AM,38.3,55.1,0.0
5-Aug,10 AM,39.7,51.7,0.0
5-Aug,11 AM,40.2,51.1,0.0
5-Aug,12 PM,40.8,50.7,0.1
5-Aug,1 PM,40.4,48.5,0.7
5-Aug,2 PM,40.1,50.0,0.2
5-Aug,3 PM,38.3,58.3,0.0
5-Aug,4 PM,40.1,52.2,0.0
5-Aug,5 PM,37.9,56.7,0.3
5-Aug,6 PM,34.2,60.7,0.4
5-Aug,7 PM,33.7,62.0,0.0
5-Aug,8 PM,33.7,62.9,0.0
5-Aug,9 PM,33.6,64.2,0.0
5-Aug,10 PM,33.6,64.9,0.0
5-Aug,11 PM,33.5,65.9,0.0
6-Aug,12 AM,33.6,66.4,0.0
6-Aug,1 AM,33.1,67.4,0.0
6-Aug,2 AM,32.8,68.5,0.0
6-Aug,3 AM,32.7,68.7,0.0
6-Aug,4 AM,32.6,68.8,0.0
6-Aug,5 AM,32.5,68.8,0.0
6-Aug,6 AM,32.6,68.9,0.0
6-Aug,7 AM,34.2,66.7,0.0
6-Aug,8 AM,36.1,62.8,0.0
6-Aug,9 AM,38.8,57.1,0.0
6-Aug,10 AM,39.7,55.2,0.0
6-Aug,11 AM,41.1,51.3,0.3
6-Aug,12 PM,36.1,65.6,0.1
6-Aug,1 PM,40.8,57.0,0.0
6-Aug,2 PM,42.5,49.6,0.2
6-Aug,3 PM,42.2,49.8,0.0
6-Aug,4 PM,41.6,49.7,0.2
6-Aug,5 PM,39.7,53.1,0.0
6-Aug,6 PM,38.3,57.8,0.0
6-Aug,7 PM,36.8,62.5,0.0
6-Aug,8 PM,35.9,63.2,0.0
6-Aug,9 PM,35.6,63.8,0.0
6-Aug,10 PM,34.6,65.8,0.0
6-Aug,11 PM,33.4,68.9,0.0
7-Aug,12 AM,32.0,72.0,0.0
7-Aug,1 AM,32.2,71.1,0.0
7-Aug,2 AM,32.0,71.4,0.0
7-Aug,3 AM,32.3,70.5,0.0
7-Aug,4 AM,32.3,70.6,0.0
7-Aug,5 AM,32.1,71.2,0.0
7-Aug,6 AM,32.3,71.0,0.0
7-Aug,7 AM,34.1,69.0,0.0
7-Aug,8 AM,36.8,63.7,0.0
7-Aug,9 AM,38.7,59.2,0.0
7-Aug,10 AM,39.5,56.2,0.0
7-Aug,11 AM,36.5,63.8,0.1
7-Aug,12 PM,33.0,70.5,0.1
7-Aug,1 PM,32.7,70.5,0.0
7-Aug,2 PM,33.8,70.0,0.0
7-Aug,3 PM,35.3,67.8,0.0
7-Aug,4 PM,35.8,65.9,0.0
7-Aug,5 PM,35.2,67.3,0.0
7-Aug,6 PM,34.6,68.2,0.0
7-Aug,7 PM,34.2,68.9,0.0
7-Aug,8 PM,34.0,69.2,0.0
7-Aug,9 PM,33.7,69.9,0.0
7-Aug,10 PM,33.4,71.0,0.0
7-Aug,11 PM,33.1,71.2,0.0
8-Aug,12 AM,33.1,71.0,0.0
8-Aug,1 AM,33.0,71.3,0.0
8-Aug,2 AM,32.8,71.5,0.0
8-Aug,3 AM,32.4,71.5,0.0
8-Aug,4 AM,32.4,71.1,0.0
8-Aug,5 AM,32.3,71.3,0.0
8-Aug,6 AM,32.3,71.6,0.0
8-Aug,7 AM,32.9,71.1,0.0
8-Aug,8 AM,33.8,69.8,0.0
8-Aug,9 AM,32.4,71.6,0.0
8-Aug,10 AM,33.5,70.5,0.0
8-Aug,11 AM,32.9,70.4,0.1
8-Aug,12 PM,32.3,71.5,0.0
8-Aug,1 PM,32.0,71.9,0.1
8-Aug,2 PM,32.0,71.6,0.2
8-Aug,3 PM,32.3,71.4,0.0
8-Aug,4 PM,33.1,70.0,0.0
8-Aug,5 PM,33.2,69.6,0.0
8-Aug,6 PM,32.5,71.1,0.0
8-Aug,7 PM,32.2,71.8,0.0
8-Aug,8 PM,32.0,72.0,0.0
8-Aug,9 PM,30.5,73.0,0.5
8-Aug,10 PM,30.3,73.5,0.1
8-Aug,11 PM,30.3,73.5,0.0
9-Aug,12 AM,30.4,73.4,0.0
9-Aug,1 AM,30.3,73.4,0.1
9-Aug,2 AM,30.4,73.4,0.0
9-Aug,3 AM,30.6,73.3,0.0
9-Aug,4 AM,30.7,73.3,0.0
9-Aug,5 AM,30.9,73.1,0.0
9-Aug,6 AM,30.7,73.4,0.0
9-Aug,7 AM,30.7,73.4,0.2
9-Aug,8 AM,31.0,73.0,0.1
9-Aug,9 AM,31.5,72.4,0.0
9-Aug,10 AM,33.2,70.9,0.0
9-Aug,11 AM,35.5,65.9,0.0
9-Aug,12 PM,36.8,61.8,0.0
9-Aug,1 PM,38.1,57.5,0.3
9-Aug,2 PM,37.9,57.3,0.2
9-Aug,3 PM,38.3,57.8,0.0
9-Aug,4 PM,39.6,55.5,0.0
9-Aug,5 PM,38.8,57.7,0.0
9-Aug,6 PM,37.5,60.9,0.0
9-Aug,7 PM,35.3,66.0,0.0
9-Aug,8 PM,35.1,66.6,0.0
9-Aug,9 PM,34.7,67.6,0.0
9-Aug,10 PM,33.9,69.1,0.0
9-Aug,11 PM,33.5,70.3,0.0
10-Aug,12 AM,33.1,71.0,0.0
10-Aug,1 AM,33.0,71.0,0.0
10-Aug,2 AM,32.9,71.2,0.0
10-Aug,3 AM,32.8,71.2,0.0
10-Aug,4 AM,32.4,70.7,0.0
10-Aug,5 AM,32.3,69.7,0.0
10-Aug,6 AM,32.3,69.4,0.0
10-Aug,7 AM,33.3,68.1,0.0
10-Aug,8 AM,34.9,66.0,0.0
10-Aug,9 AM,36.8,61.6,0.1
10-Aug,10 AM,39.0,56.4,0.2
10-Aug,11 AM,39.3,54.4,0.5
10-Aug,12 PM,38.8,53.7,0.9
10-Aug,1 PM,39.3,53.1,0.9
10-Aug,2 PM,40.2,51.2,0.7
10-Aug,3 PM,40.9,50.7,0.4
10-Aug,4 PM,41.1,50.5,0.3
10-Aug,5 PM,39.7,55.2,0.4
10-Aug,6 PM,36.3,62.6,1.2
10-Aug,7 PM,34.3,69.5,0.0
10-Aug,8 PM,33.7,70.4,0.1
10-Aug,9 PM,34.1,69.5,0.0
10-Aug,10 PM,33.9,69.3,0.0
10-Aug,11 PM,33.7,69.4,0.0
11-Aug,12 AM,33.8,69.6,0.0
11-Aug,1 AM,33.5,70.4,0.0
11-Aug,2 AM,33.2,70.6,0.0
11-Aug,3 AM,32.8,70.8,0.0
11-Aug,4 AM,32.8,70.5,0.0
11-Aug,5 AM,32.5,70.7,0.0
11-Aug,6 AM,32.5,70.2,0.0
11-Aug,7 AM,33.6,68.0,0.0
11-Aug,8 AM,36.3,62.1,0.0
11-Aug,9 AM,39.1,54.5,0.0
11-Aug,10 AM,39.4,53.4,0.1
11-Aug,11 AM,40.2,52.0,0.3
11-Aug,12 PM,39.6,53.8,0.2
11-Aug,1 PM,40.2,53.8,0.4
11-Aug,2 PM,38.1,61.6,0.3
11-Aug,3 PM,40.0,55.8,0.6
11-Aug,4 PM,38.2,60.0,0.8
11-Aug,5 PM,34.8,65.4,1.1
11-Aug,6 PM,34.0,65.9,0.1
11-Aug,7 PM,34.4,65.8,0.0
11-Aug,8 PM,34.2,66.8,0.0
11-Aug,9 PM,33.5,69.4,0.0
11-Aug,10 PM,32.3,71.9,0.0
11-Aug,11 PM,32.3,72.0,0.0
12-Aug,12 AM,32.7,71.2,0.0
12-Aug,1 AM,32.6,71.2,0.0
12-Aug,2 AM,32.6,71.1,0.0
12-Aug,3 AM,32.4,71.7,0.0
12-Aug,4 AM,32.2,71.6,0.0
12-Aug,5 AM,32.0,71.3,0.0
12-Aug,6 AM,32.1,70.5,0.0
12-Aug,7 AM,33.5,68.9,0.0
12-Aug,8 AM,36.9,61.8,0.0
12-Aug,9 AM,37.7,59.6,0.0
12-Aug,10 AM,40.0,54.8,0.1
12-Aug,11 AM,36.6,60.2,0.6
12-Aug,12 PM,34.2,68.7,0.0
12-Aug,1 PM,35.8,66.0,0.1
12-Aug,2 PM,36.4,64.8,0.1
12-Aug,3 PM,37.2,63.2,0.0
12-Aug,4 PM,33.0,70.8,0.1
12-Aug,5 PM,32.9,70.5,0.0
12-Aug,6 PM,32.3,71.5,0.0
12-Aug,7 PM,32.0,71.3,0.3
12-Aug,8 PM,29.6,72.5,0.1
12-Aug,9 PM,29.7,73.0,0.1
12-Aug,10 PM,30.2,71.8,0.0
12-Aug,11 PM,30.2,71.7,0.0
13-Aug,12 AM,30.1,72.0,0.0
13-Aug,1 AM,30.2,72.1,0.0
13-Aug,2 AM,30.0,72.4,0.0
13-Aug,3 AM,30.2,71.9,0.0
13-Aug,4 AM,30.2,72.2,0.0
13-Aug,5 AM,30.3,71.7,0.0
13-Aug,6 AM,30.9,71.5,0.0
13-Aug,7 AM,32.9,69.6,0.0
13-Aug,8 AM,35.9,65.7,0.0
13-Aug,9 AM,38.0,60.1,0.1
13-Aug,10 AM,40.2,54.8,0.0
13-Aug,11 AM,40.5,52.9,0.0
13-Aug,12 PM,41.0,51.4,0.1
13-Aug,1 PM,42.2,48.0,0.1
13-Aug,2 PM,43.5,45.2,0.1
13-Aug,3 PM,44.1,44.0,0.3
13-Aug,4 PM,43.2,46.0,0.0
13-Aug,5 PM,41.5,48.0,0.1
13-Aug,6 PM,38.7,53.8,0.0
13-Aug,7 PM,36.7,60.5,0.0
13-Aug,8 PM,35.5,63.8,0.0
13-Aug,9 PM,35.2,64.5,0.0
13-Aug,10 PM,35.0,65.6,0.0
13-Aug,11 PM,34.5,66.3,0.0
14-Aug,12 AM,34.0,67.1,0.0
14-Aug,1 AM,33.6,68.3,0.0
14-Aug,2 AM,33.3,68.8,0.0
14-Aug,3 AM,32.8,69.7,0.0
14-Aug,4 AM,32.5,69.8,0.0
14-Aug,5 AM,32.1,70.6,0.0
14-Aug,6 AM,33.1,69.4,0.0
14-Aug,7 AM,37.5,62.0,0.0
14-Aug,8 AM,39.4,56.6,0.0
14-Aug,9 AM,41.1,51.0,0.0
14-Aug,10 AM,40.7,50.0,0.1
14-Aug,11 AM,40.5,50.7,0.1
14-Aug,12 PM,41.6,49.1,0.1
14-Aug,1 PM,42.0,47.8,0.4
14-Aug,2 PM,43.2,45.3,0.3
14-Aug,3 PM,45.2,42.8,0.2
14-Aug,4 PM,42.6,46.6,0.0
14-Aug,5 PM,41.8,50.3,0.0
14-Aug,6 PM,39.6,55.7,0.0
14-Aug,7 PM,38.6,57.9,0.0
14-Aug,8 PM,37.0,62.7,0.0
14-Aug,9 PM,36.3,64.8,0.0
14-Aug,10 PM,35.6,66.0,0.0
14-Aug,11 PM,34.9,66.6,0.0
15-Aug,12 AM,35.0,65.8,0.0
15-Aug,1 AM,35.2,65.8,0.0
15-Aug,2 AM,34.7,67.2,0.0
15-Aug,3 AM,34.4,68.5,0.0
15-Aug,4 AM,34.2,69.6,0.0
15-Aug,5 AM,33.7,71.2,0.0
15-Aug,6 AM,33.9,70.8,0.0
15-Aug,7 AM,34.7,69.5,0.0
15-Aug,8 AM,37.0,65.5,0.0
15-Aug,9 AM,38.9,58.5,0.1
15-Aug,10 AM,40.5,53.3,0.2
15-Aug,11 AM,40.6,52.1,0.3
15-Aug,12 PM,39.0,56.0,0.1
15-Aug,1 PM,38.3,59.3,0.0
15-Aug,2 PM,38.8,58.8,0.0
15-Aug,3 PM,38.7,59.3,0.0
15-Aug,4 PM,37.7,61.3,0.2
15-Aug,5 PM,34.9,65.7,0.1
15-Aug,6 PM,32.7,70.8,0.2
15-Aug,7 PM,33.1,70.2,0.0
15-Aug,8 PM,31.2,71.2,0.3
15-Aug,9 PM,30.9,72.1,0.0
15-Aug,10 PM,31.2,72.5,0.0
15-Aug,11 PM,31.3,72.1,0.0
16-Aug,12 AM,31.6,71.6,0.0
16-Aug,1 AM,31.4,71.8,0.0
16-Aug,2 AM,30.8,73.0,0.0
16-Aug,3 AM,30.7,72.7,0.0
16-Aug,4 AM,30.7,72.6,0.0
16-Aug,5 AM,30.6,72.8,0.0
16-Aug,6 AM,30.9,72.6,0.0
16-Aug,7 AM,32.3,71.5,0.0
16-Aug,8 AM,35.1,67.3,0.0
16-Aug,9 AM,37.3,61.4,0.1
16-Aug,10 AM,37.5,59.6,0.1
16-Aug,11 AM,37.7,59.2,0.1
16-Aug,12 PM,39.4,55.4,0.2
16-Aug,1 PM,40.3,53.0,0.4
16-Aug,2 PM,40.3,52.3,0.1
16-Aug,3 PM,41.3,50.3,0.1
16-Aug,4 PM,40.9,50.6,0.5
16-Aug,5 PM,36.4,61.2,0.9
16-Aug,6 PM,34.7,64.5,0.1
16-Aug,7 PM,34.2,68.5,0.0
16-Aug,8 PM,33.3,68.7,0.7
16-Aug,9 PM,29.7,73.3,0.2
16-Aug,10 PM,29.7,72.9,0.0
16-Aug,11 PM,30.1,73.0,0.0
17-Aug,12 AM,30.0,73.3,0.0
17-Aug,1 AM,30.0,73.2,0.0
17-Aug,2 AM,30.4,72.6,0.0
17-Aug,3 AM,30.2,72.7,0.0
17-Aug,4 AM,30.1,73.1,0.0
17-Aug,5 AM,30.5,72.4,0.0
17-Aug,6 AM,30.7,72.3,0.0
17-Aug,7 AM,32.1,70.5,0.0
17-Aug,8 AM,34.2,67.3,0.0
17-Aug,9 AM,35.9,63.3,0.1
17-Aug,10 AM,38.2,59.9,0.0
17-Aug,11 AM,38.8,58.8,0.0
17-Aug,12 PM,39.3,57.9,0.1
17-Aug,1 PM,35.4,63.6,0.3
17-Aug,2 PM,35.2,66.2,0.1
17-Aug,3 PM,35.1,68.1,0.0
17-Aug,4 PM,33.8,69.6,0.2
17-Aug,5 PM,33.7,69.8,0.0
17-Aug,6 PM,34.1,69.1,0.0
17-Aug,7 PM,33.5,70.1,0.0
17-Aug,8 PM,33.3,70.6,0.0
17-Aug,9 PM,33.2,70.6,0.0
17-Aug,10 PM,33.1,70.6,0.0
17-Aug,11 PM,32.7,71.9,0.0
18-Aug,12 AM,32.1,73.2,0.2
18-Aug,1 AM,32.5,71.8,0.0
18-Aug,2 AM,31.9,72.0,0.0
18-Aug,3 AM,31.8,72.2,0.0
18-Aug,4 AM,31.7,72.2,0.0
18-Aug,5 AM,31.5,72.4,0.0
18-Aug,6 AM,31.7,72.3,0.0
18-Aug,7 AM,33.6,69.6,0.0
18-Aug,8 AM,35.7,65.7,0.0
18-Aug,9 AM,39.1,56.4,0.0
18-Aug,10 AM,39.7,54.0,0.1
18-Aug,11 AM,40.1,52.2,0.2
18-Aug,12 PM,40.6,50.9,0.2
18-Aug,1 PM,42.0,47.7,0.2
18-Aug,2 PM,43.4,45.8,0.2
18-Aug,3 PM,42.8,47.6,0.1
18-Aug,4 PM,43.2,46.7,0.1
18-Aug,5 PM,41.5,49.9,0.0
18-Aug,6 PM,39.7,54.5,0.0
18-Aug,7 PM,36.2,61.3,0.5
18-Aug,8 PM,33.4,68.0,0.1
18-Aug,9 PM,33.2,69.2,0.0
18-Aug,10 PM,33.2,69.2,0.0
18-Aug,11 PM,33.0,69.4,0.0
19-Aug,12 AM,32.9,69.5,0.0
19-Aug,1 AM,32.9,69.3,0.0
19-Aug,2 AM,33.1,69.2,0.0
19-Aug,3 AM,33.0,69.5,0.0
19-Aug,4 AM,32.8,70.2,0.0
19-Aug,5 AM,32.7,70.4,0.0
19-Aug,6 AM,32.7,71.0,0.0
19-Aug,7 AM,36.0,65.9,0.0
19-Aug,8 AM,38.5,60.9,0.0
19-Aug,9 AM,40.0,54.2,0.0
19-Aug,10 AM,40.3,52.1,0.4
19-Aug,11 AM,41.1,50.3,0.4
19-Aug,12 PM,41.0,49.3,0.6
19-Aug,1 PM,41.8,47.6,0.6
19-Aug,2 PM,42.3,46.5,0.9
19-Aug,3 PM,43.0,45.4,0.6
19-Aug,4 PM,42.5,46.8,0.4
19-Aug,5 PM,41.4,50.4,0.0
19-Aug,6 PM,39.7,55.0,0.1
19-Aug,7 PM,38.2,59.2,0.5
19-Aug,8 PM,33.9,69.2,0.9
19-Aug,9 PM,32.8,71.1,0.0
19-Aug,10 PM,32.6,71.7,0.1
19-Aug,11 PM,32.3,72.2,0.1
20-Aug,12 AM,32.3,71.8,0.0
20-Aug,1 AM,32.3,71.8,0.0
20-Aug,2 AM,32.6,71.4,0.0
20-Aug,3 AM,32.6,71.4,0.0
20-Aug,4 AM,32.4,71.6,0.0
20-Aug,5 AM,32.5,71.5,0.0
20-Aug,6 AM,32.6,71.7,0.0
20-Aug,7 AM,33.0,71.2,0.0
20-Aug,8 AM,33.5,70.7,0.0
20-Aug,9 AM,34.3,69.7,0.0
20-Aug,10 AM,36.4,65.5,0.0
20-Aug,11 AM,38.0,61.5,0.0
20-Aug,12 PM,38.3,59.8,0.0
20-Aug,1 PM,39.6,57.7,0.0
20-Aug,2 PM,39.0,58.5,0.0
20-Aug,3 PM,38.4,60.5,0.0
20-Aug,4 PM,38.8,59.8,0.0
20-Aug,5 PM,39.3,58.1,0.0
20-Aug,6 PM,37.5,62.2,0.0
20-Aug,7 PM,36.1,65.6,0.0
20-Aug,8 PM,35.5,67.7,0.0
20-Aug,9 PM,34.3,68.8,0.0
20-Aug,10 PM,33.5,70.7,0.0
20-Aug,11 PM,33.3,71.2,0.0
21-Aug,12 AM,33.3,70.5,0.0
21-Aug,1 AM,33.2,70.4,0.0
21-Aug,2 AM,33.2,70.7,0.0
21-Aug,3 AM,33.1,70.9,0.0
21-Aug,4 AM,32.9,71.1,0.0
21-Aug,5 AM,32.9,71.0,0.0
21-Aug,6 AM,33.0,70.7,0.0
21-Aug,7 AM,34.0,69.6,0.0
21-Aug,8 AM,36.4,65.3,0.0
21-Aug,9 AM,38.4,59.6,0.0
21-Aug,10 AM,39.5,56.7,0.0
21-Aug,11 AM,39.3,57.2,0.0
21-Aug,12 PM,39.7,54.4,0.1
21-Aug,1 PM,40.1,52.1,0.2
21-Aug,2 PM,40.3,52.4,0.1
21-Aug,3 PM,41.5,49.7,0.2
21-Aug,4 PM,40.3,53.4,0.4
21-Aug,5 PM,39.2,55.6,0.3
21-Aug,6 PM,36.8,60.4,1.0
21-Aug,7 PM,34.4,65.4,0.2
21-Aug,8 PM,34.2,66.1,0.0
21-Aug,9 PM,34.5,65.8,0.0
21-Aug,10 PM,33.7,67.9,0.0
21-Aug,11 PM,33.3,68.7,0.0
22-Aug,12 AM,33.7,68.0,0.0
22-Aug,1 AM,33.7,68.3,0.0
22-Aug,2 AM,33.5,68.6,0.0
22-Aug,3 AM,33.5,69.0,0.0
22-Aug,4 AM,33.3,69.8,0.0
22-Aug,5 AM,33.1,70.4,0.0
22-Aug,6 AM,33.2,70.2,0.0
22-Aug,7 AM,34.5,68.7,0.0
22-Aug,8 AM,37.1,64.7,0.0
22-Aug,9 AM,38.9,58.4,0.0
22-Aug,10 AM,39.8,54.6,0.1
22-Aug,11 AM,40.7,51.2,0.3
22-Aug,12 PM,41.7,48.6,0.3
22-Aug,1 PM,42.7,46.2,0.2
22-Aug,2 PM,43.3,44.9,0.3
22-Aug,3 PM,40.7,51.2,0.0
22-Aug,4 PM,37.5,63.3,0.0
22-Aug,5 PM,36.9,64.0,0.0
22-Aug,6 PM,35.9,66.5,0.0
22-Aug,7 PM,35.5,67.9,0.0
22-Aug,8 PM,35.4,67.6,0.0
22-Aug,9 PM,34.9,68.2,0.0
22-Aug,10 PM,34.2,68.8,0.0
22-Aug,11 PM,34.2,68.6,0.0
23-Aug,12 AM,34.3,68.6,0.0
23-Aug,1 AM,33.9,69.5,0.0
23-Aug,2 AM,33.8,69.6,0.0
23-Aug,3 AM,33.3,70.4,0.0
23-Aug,4 AM,33.1,70.2,0.0
23-Aug,5 AM,32.6,70.6,0.0
23-Aug,6 AM,33.2,69.9,0.0
23-Aug,7 AM,36.4,65.3,0.0
23-Aug,8 AM,40.0,56.6,0.0
23-Aug,9 AM,40.0,51.1,0.1
23-Aug,10 AM,41.1,48.4,0.0
23-Aug,11 AM,41.2,48.0,0.1
23-Aug,12 PM,41.6,46.5,0.1
23-Aug,1 PM,42.8,45.2,0.2
23-Aug,2 PM,43.3,44.7,0.4
23-Aug,3 PM,43.3,45.7,0.2
23-Aug,4 PM,44.5,44.0,0.0
23-Aug,5 PM,44.5,44.1,0.0
23-Aug,6 PM,41.6,48.9,0.0
23-Aug,7 PM,39.4,56.0,0.0
23-Aug,8 PM,38.2,60.5,0.0
23-Aug,9 PM,36.8,62.8,0.0
23-Aug,10 PM,36.4,63.7,0.0
23-Aug,11 PM,36.2,65.3,0.0
24-Aug,12 AM,35.5,66.7,0.0
24-Aug,1 AM,35.5,66.2,0.0
24-Aug,2 AM,35.0,67.4,0.0
24-Aug,3 AM,34.6,68.3,0.0
24-Aug,4 AM,34.2,69.1,0.0
24-Aug,5 AM,34.6,68.5,0.0
24-Aug,6 AM,34.5,68.8,0.0
24-Aug,7 AM,36.8,65.2,0.0
24-Aug,8 AM,39.8,57.9,0.0
