Months,Days,date time,Average of temp,Average of humid,Average of wind speed
Mar,29-Mar,1 PM,28.2,52.6,4.5
Mar,29-Mar,2 PM,28.9,50.0,3.5
Mar,29-Mar,3 PM,29.1,49.7,3.5
Apr,1-Apr,12 AM,38.0,47.1,4.1
Apr,1-Apr,1 AM,38.0,47.4,3.8
Apr,1-Apr,2 AM,38.0,47.6,3.7
Apr,1-Apr,3 AM,38.0,47.8,3.9
Apr,1-Apr,4 AM,38.0,48.0,3.7
Apr,1-Apr,5 AM,38.0,48.1,3.4
Apr,1-Apr,6 AM,37.9,48.1,3.4
Apr,1-Apr,7 AM,37.9,47.8,3.7
Apr,1-Apr,8 AM,37.2,47.2,3.9
Apr,1-Apr,9 AM,30.2,45.6,3.8
Apr,1-Apr,10 AM,29.1,49.2,3.8
Apr,1-Apr,11 AM,29.1,50.7,3.4
Apr,1-Apr,12 PM,29.2,51.1,4.0
Apr,1-Apr,1 PM,28.7,52.2,3.9
Apr,1-Apr,2 PM,28.4,52.5,3.7
Apr,1-Apr,3 PM,28.4,53.0,4.1
Apr,1-Apr,4 PM,28.4,53.0,3.7
Apr,1-Apr,5 PM,31.2,50.5,3.9
Apr,1-Apr,6 PM,34.8,45.5,3.8
Apr,1-Apr,7 PM,35.7,45.0,3.9
Apr,1-Apr,8 PM,36.2,44.9,3.5
Apr,1-Apr,9 PM,36.5,45.0,3.7
Apr,1-Apr,10 PM,36.7,45.1,3.7
Apr,1-Apr,11 PM,36.8,45.3,3.4
Apr,2-Apr,12 AM,36.9,45.3,3.9
Apr,2-Apr,1 AM,37.0,45.1,3.7
Apr,2-Apr,2 AM,37.0,44.9,3.8
Apr,2-Apr,3 AM,37.0,44.6,3.5
Apr,2-Apr,4 AM,37.0,44.1,3.6
Apr,2-Apr,5 AM,36.9,43.4,3.3
Apr,2-Apr,6 AM,36.8,42.7,3.7
Apr,2-Apr,7 AM,36.8,42.1,3.7
Apr,2-Apr,8 AM,36.7,41.5,3.6
Apr,2-Apr,9 AM,36.7,40.8,3.4
Apr,2-Apr,10 AM,36.6,40.3,3.3
Apr,2-Apr,11 AM,36.7,40.1,3.5
Apr,2-Apr,12 PM,36.7,40.0,3.5
Apr,2-Apr,1 PM,36.7,40.1,3.4
Apr,2-Apr,2 PM,36.8,40.1,3.3
Apr,2-Apr,3 PM,37.0,40.0,3.4
Apr,2-Apr,4 PM,36.9,39.9,3.5
Apr,2-Apr,5 PM,36.9,39.8,3.4
Apr,2-Apr,6 PM,36.9,39.8,3.2
Apr,2-Apr,7 PM,36.9,39.9,3.6
Apr,2-Apr,8 PM,36.8,39.9,3.5
Apr,2-Apr,9 PM,36.8,39.9,3.4
Apr,2-Apr,10 PM,36.8,39.7,3.4
Apr,2-Apr,11 PM,36.8,39.6,3.4
Apr,3-Apr,12 AM,36.7,39.3,3.4
Apr,3-Apr,1 AM,36.7,39.0,3.3
Apr,3-Apr,2 AM,36.7,38.8,3.1
Apr,3-Apr,3 AM,36.6,38.7,3.3
Apr,3-Apr,4 AM,36.6,38.5,3.4
Apr,3-Apr,5 AM,36.5,38.6,3.3
Apr,3-Apr,6 AM,36.4,38.9,3.2
Apr,3-Apr,7 AM,36.3,39.4,3.3
Apr,3-Apr,8 AM,36.1,40.0,3.4
Apr,3-Apr,9 AM,36.0,40.4,3.3
Apr,3-Apr,10 AM,35.9,40.4,3.4
Apr,3-Apr,11 AM,35.9,40.5,3.5
Apr,3-Apr,12 PM,36.0,40.2,3.2
Apr,3-Apr,1 PM,35.9,40.0,3.5
Apr,3-Apr,2 PM,35.9,39.9,3.5
Apr,3-Apr,3 PM,35.9,39.9,3.3
Apr,3-Apr,4 PM,35.9,39.8,3.4
Apr,3-Apr,5 PM,35.9,39.9,3.2
Apr,3-Apr,6 PM,35.8,40.3,3.4
Apr,3-Apr,7 PM,35.8,40.6,3.5
Apr,3-Apr,8 PM,35.7,40.9,3.1
Apr,3-Apr,9 PM,35.6,41.1,3.4
Apr,3-Apr,10 PM,35.6,41.3,3.5
Apr,3-Apr,11 PM,35.6,41.3,3.4
Apr,4-Apr,12 AM,35.5,41.3,3.4
Apr,4-Apr,1 AM,35.4,41.5,3.2
Apr,4-Apr,2 AM,35.4,41.9,3.2
Apr,4-Apr,3 AM,35.3,42.1,3.4
Apr,4-Apr,4 AM,35.3,42.3,3.5
Apr,4-Apr,5 AM,35.3,42.5,3.4
Apr,4-Apr,6 AM,35.2,42.7,3.3
Apr,4-Apr,7 AM,35.1,42.9,3.3
Apr,4-Apr,8 AM,34.6,42.9,3.3
Apr,4-Apr,9 AM,29.0,49.8,3.3
Apr,4-Apr,10 AM,28.6,50.7,3.4
Apr,4-Apr,11 AM,28.6,50.4,3.6
Apr,4-Apr,12 PM,28.2,46.7,3.6
Apr,4-Apr,1 PM,28.5,49.1,3.5
Apr,4-Apr,2 PM,28.3,45.9,3.5
Apr,4-Apr,3 PM,28.3,44.7,3.6
Apr,4-Apr,4 PM,31.6,42.9,3.4
Apr,4-Apr,5 PM,34.2,40.7,3.4
Apr,4-Apr,6 PM,34.7,40.9,3.6
Apr,4-Apr,7 PM,34.8,41.1,3.6
Apr,4-Apr,8 PM,35.0,41.3,3.2
Apr,4-Apr,9 PM,35.2,41.5,3.4
Apr,4-Apr,10 PM,35.4,41.6,3.3
Apr,4-Apr,11 PM,35.5,41.9,3.2
